index,x,mu,sigma,xi
0,0.0,1.3,1.1,0.3
1,0.0031447373909807737,1.2999616743707303,1.099977270927786,0.29995231139270856
2,0.006289474781961547,1.2998467039375332,1.099909094043358,0.2998092607321894
3,0.009434212172942321,1.2996551080629386,1.0997955003386628,0.2995708934976877
4,0.012578949563923095,1.2993869190134775,1.099636541451291,0.2992372854718796
5,0.01572368695490387,1.299042181953152,1.099432289641003,0.29880854271677937
6,0.018868424345884642,1.2986209549342993,1.0991828377568813,0.2982848015400195
7,0.022013161736865416,1.2981233088858461,1.0988882991951243,0.2976662284515154
8,0.02515789912784619,1.2975493275989567,1.0985488078474965,0.2969530201105277
9,0.028302636518826963,1.296899107710081,1.098164518040465,0.29614540326313965
10,0.03144737390980774,1.2961727586814042,1.0977356044650457,0.29524363467016906
11,0.034592111300788514,1.2953704027786985,1.0972622620973904,0.29424800102553794
12,0.037736848691769284,1.2944921750465883,1.096744706110157,0.2931588188651256
13,0.040881586082750054,1.293538223281228,1.0961831717746933,0.2919764344661341
14,0.04402632347373083,1.2925087080004007,1.0955779143540885,0.2907012237369985
15,0.04717106086471161,1.2914038024110455,1.0949292089871352,0.28933359209787674
16,0.05031579825569238,1.290223692374214,1.0942373505632559,0.2878739743517565
17,0.05346053564667315,1.2889685763674725,1.0935026535884522,0.28632283454622104
18,0.056605273037653926,1.2876386654447476,1.092725452042336,0.28468066582591733
19,0.0597500104286347,1.2862341831936321,1.0919060992263088,0.2829479902757734
20,0.06289474781961547,1.2847553656901538,1.0910449676029568,0.28112535875501504
21,0.06603948521059624,1.2832024614510193,1.0901424486267373,0.27921335072203457
22,0.06918422260157703,1.2815757313833434,1.0891989525660297,0.2772125740501667
23,0.0723289599925578,1.2798754487318713,1.0882149083166361,0.27512366483443135
24,0.07547369738353857,1.2781018990237083,1.087190763206813,0.27294728718930356
25,0.07861843477451934,1.2762553800105643,1.086126982793923,0.27068413303757555
