bid_datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,176521.40,182979.00,170979.30
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,176175.70,182980.30,170979.30
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,175682.10,182582.90,170979.30
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,175925.10,182667.00,170979.30
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,176641.50,183132.00,170979.30
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,177091.10,183407.40,170979.30
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,177230.20,183372.50,170979.30
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,178080.70,184188.90,170979.30
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,178450.00,184454.60,170979.30
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,180074.40,185961.80,170979.30
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,180959.70,186033.90,170979.30
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,180834.00,185931.50,170979.30
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,180196.50,185083.50,170979.30
1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,180030.60,185246.20,170979.30
1/1/2022 7:00:00 PM,1/1/2022 2:00:00 PM,179907.80,185222.60,170979.30
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,180250.20,185397.60,170979.30
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,180921.10,185961.80,170979.30
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,181727.60,186705.00,170979.30
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,181739.10,186694.10,170979.30
1/2/2022 12:00:00 AM,1/1/2022 7:00:00 PM,181849.00,186907.70,170979.30
1/2/2022 1:00:00 AM,1/1/2022 8:00:00 PM,183240.70,188311.40,170979.30
1/2/2022 2:00:00 AM,1/1/2022 9:00:00 PM,183362.40,188454.10,170979.30
1/2/2022 3:00:00 AM,1/1/2022 10:00:00 PM,183253.40,188313.10,170979.30
1/2/2022 4:00:00 AM,1/1/2022 11:00:00 PM,183314.70,188365.40,170979.30
1/2/2022 5:00:00 AM,1/2/2022 12:00:00 AM,179588.70,185249.80,170979.30
1/2/2022 6:00:00 AM,1/2/2022 1:00:00 AM,179433.60,185020.30,170979.30
1/2/2022 7:00:00 AM,1/2/2022 2:00:00 AM,179950.70,185546.80,170979.30
1/2/2022 8:00:00 AM,1/2/2022 3:00:00 AM,179679.10,185273.40,170979.30
1/2/2022 9:00:00 AM,1/2/2022 4:00:00 AM,180306.20,185298.50,170979.30
1/2/2022 10:00:00 AM,1/2/2022 5:00:00 AM,180030.70,184990.30,170979.30
1/2/2022 11:00:00 AM,1/2/2022 6:00:00 AM,180581.70,185267.10,170979.30
1/2/2022 12:00:00 PM,1/2/2022 7:00:00 AM,180497.30,185092.10,170979.30
1/2/2022 1:00:00 PM,1/2/2022 8:00:00 AM,180841.90,185288.40,170979.30
1/2/2022 2:00:00 PM,1/2/2022 9:00:00 AM,181687.40,186103.30,170979.30
1/2/2022 3:00:00 PM,1/2/2022 10:00:00 AM,182133.20,186434.80,170979.30
1/2/2022 4:00:00 PM,1/2/2022 11:00:00 AM,182367.40,186706.10,170979.30
1/2/2022 5:00:00 PM,1/2/2022 12:00:00 PM,180902.80,185355.00,170979.30
1/2/2022 6:00:00 PM,1/2/2022 1:00:00 PM,179862.10,184323.60,170979.30
1/2/2022 7:00:00 PM,1/2/2022 2:00:00 PM,179874.80,184015.00,170979.30
1/2/2022 8:00:00 PM,1/2/2022 3:00:00 PM,180588.10,184662.50,170979.30
1/2/2022 9:00:00 PM,1/2/2022 4:00:00 PM,181541.00,185576.40,170979.30
1/2/2022 10:00:00 PM,1/2/2022 5:00:00 PM,181936.40,185971.40,170979.30
1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,181973.90,185999.10,170979.30
1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,184653.30,188843.80,170979.30
1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,185679.90,189082.40,170979.30
1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,185684.70,189066.50,170979.30
1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,185661.10,189042.90,170979.30
1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,185669.80,189042.60,170979.30
1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,178063.70,182499.90,170979.30
1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,178054.00,182436.40,170979.30
1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,177903.10,182458.10,170979.30
1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,177996.30,182555.00,170979.30
1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,178077.40,182315.00,170979.30
1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,178910.30,182847.80,170979.30
1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,180604.80,184155.30,170979.30
