bid_datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2020 5:00:00 AM,1/1/2020 12:00:00 AM,182348.40,184953.70,174884.10
1/1/2020 6:00:00 AM,1/1/2020 1:00:00 AM,181616.10,184497.80,174884.10
1/1/2020 7:00:00 AM,1/1/2020 2:00:00 AM,181250.30,184337.50,174884.10
1/1/2020 8:00:00 AM,1/1/2020 3:00:00 AM,181487.30,184466.30,174884.10
1/1/2020 9:00:00 AM,1/1/2020 4:00:00 AM,181849.10,184535.70,174884.10
1/1/2020 10:00:00 AM,1/1/2020 5:00:00 AM,182469.60,185142.00,174884.10
1/1/2020 11:00:00 AM,1/1/2020 6:00:00 AM,182557.60,184840.40,174884.10
1/1/2020 12:00:00 PM,1/1/2020 7:00:00 AM,183493.90,185397.10,174884.10
1/1/2020 1:00:00 PM,1/1/2020 8:00:00 AM,184339.30,186244.10,174884.10
1/1/2020 2:00:00 PM,1/1/2020 9:00:00 AM,184502.70,186396.70,174884.10
1/1/2020 3:00:00 PM,1/1/2020 10:00:00 AM,183852.10,185773.40,174884.10
1/1/2020 4:00:00 PM,1/1/2020 11:00:00 AM,183887.70,185899.60,174884.10
1/1/2020 5:00:00 PM,1/1/2020 12:00:00 PM,184633.80,186622.20,174884.10
1/1/2020 6:00:00 PM,1/1/2020 1:00:00 PM,184867.20,186819.80,174884.10
1/1/2020 7:00:00 PM,1/1/2020 2:00:00 PM,184947.50,186900.70,174884.10
1/1/2020 8:00:00 PM,1/1/2020 3:00:00 PM,184755.50,186687.60,174884.10
1/1/2020 9:00:00 PM,1/1/2020 4:00:00 PM,185122.60,186856.60,174884.10
1/1/2020 10:00:00 PM,1/1/2020 5:00:00 PM,185882.00,187455.40,174884.10
1/1/2020 11:00:00 PM,1/1/2020 6:00:00 PM,186956.20,188499.50,174884.10
1/2/2020 12:00:00 AM,1/1/2020 7:00:00 PM,186682.20,188344.20,174884.10
1/2/2020 1:00:00 AM,1/1/2020 8:00:00 PM,186650.00,188301.40,174884.10
1/2/2020 2:00:00 AM,1/1/2020 9:00:00 PM,185990.90,187829.80,174884.10
1/2/2020 3:00:00 AM,1/1/2020 10:00:00 PM,185160.30,187363.00,174884.10
1/2/2020 4:00:00 AM,1/1/2020 11:00:00 PM,184154.40,186563.30,174884.10
1/2/2020 5:00:00 AM,1/2/2020 12:00:00 AM,183293.60,186033.60,174884.10
1/2/2020 6:00:00 AM,1/2/2020 1:00:00 AM,183728.50,186455.90,174884.10
1/2/2020 7:00:00 AM,1/2/2020 2:00:00 AM,183495.70,186287.70,174884.10
1/2/2020 8:00:00 AM,1/2/2020 3:00:00 AM,183350.00,186150.20,174884.10
1/2/2020 9:00:00 AM,1/2/2020 4:00:00 AM,183039.50,185608.50,174884.10
1/2/2020 10:00:00 AM,1/2/2020 5:00:00 AM,183997.60,186417.60,174884.10
1/2/2020 11:00:00 AM,1/2/2020 6:00:00 AM,185609.90,187439.50,174884.10
1/2/2020 12:00:00 PM,1/2/2020 7:00:00 AM,185604.90,187237.30,174884.10
1/2/2020 1:00:00 PM,1/2/2020 8:00:00 AM,185222.40,186865.40,174884.10
1/2/2020 2:00:00 PM,1/2/2020 9:00:00 AM,184522.20,186375.30,174884.10
1/2/2020 3:00:00 PM,1/2/2020 10:00:00 AM,183693.00,185679.70,174884.10
1/2/2020 4:00:00 PM,1/2/2020 11:00:00 AM,183369.30,185365.50,174884.10
1/2/2020 5:00:00 PM,1/2/2020 12:00:00 PM,182852.80,184875.60,174884.10
1/2/2020 6:00:00 PM,1/2/2020 1:00:00 PM,182900.80,184963.60,174884.10
1/2/2020 7:00:00 PM,1/2/2020 2:00:00 PM,182488.70,184556.60,174884.10
1/2/2020 8:00:00 PM,1/2/2020 3:00:00 PM,181652.10,183752.00,174884.10
1/2/2020 9:00:00 PM,1/2/2020 4:00:00 PM,181516.60,183617.20,174884.10
1/2/2020 10:00:00 PM,1/2/2020 5:00:00 PM,182028.00,183896.10,174884.10
1/2/2020 11:00:00 PM,1/2/2020 6:00:00 PM,182136.50,184037.60,174884.10
1/3/2020 12:00:00 AM,1/2/2020 7:00:00 PM,181982.80,183881.80,174884.10
1/3/2020 1:00:00 AM,1/2/2020 8:00:00 PM,182086.90,184085.60,174884.10
1/3/2020 2:00:00 AM,1/2/2020 9:00:00 PM,180953.50,183176.60,174884.10
1/3/2020 3:00:00 AM,1/2/2020 10:00:00 PM,179939.50,182587.90,174884.10
1/3/2020 4:00:00 AM,1/2/2020 11:00:00 PM,178994.30,181778.90,174884.10
1/3/2020 5:00:00 AM,1/3/2020 12:00:00 AM,178595.60,182326.00,174839.50
1/3/2020 6:00:00 AM,1/3/2020 1:00:00 AM,177989.00,181680.10,174839.50
1/3/2020 7:00:00 AM,1/3/2020 2:00:00 AM,177802.10,181588.00,174839.50
1/3/2020 8:00:00 AM,1/3/2020 3:00:00 AM,177974.20,181775.10,174839.50
1/3/2020 9:00:00 AM,1/3/2020 4:00:00 AM,178465.00,181816.50,174839.50
1/3/2020 10:00:00 AM,1/3/2020 5:00:00 AM,179303.00,182180.10,174839.50
1/3/2020 11:00:00 AM,1/3/2020 6:00:00 AM,180910.20,183267.90,174839.50
1/3/2020 12:00:00 PM,1/3/2020 7:00:00 AM,181226.10,183424.50,174839.50
1/3/2020 1:00:00 PM,1/3/2020 8:00:00 AM,180165.30,182387.30,174839.50
1/3/2020 2:00:00 PM,1/3/2020 9:00:00 AM,179155.40,181395.00,174839.50
1/3/2020 3:00:00 PM,1/3/2020 10:00:00 AM,178590.90,180828.40,174839.50
1/3/2020 4:00:00 PM,1/3/2020 11:00:00 AM,178346.90,180701.10,174839.50
1/3/2020 5:00:00 PM,1/3/2020 12:00:00 PM,178124.80,180511.10,174839.50
1/3/2020 6:00:00 PM,1/3/2020 1:00:00 PM,177438.40,179837.50,174839.50
1/3/2020 7:00:00 PM,1/3/2020 2:00:00 PM,177221.80,179648.80,174839.50
1/3/2020 8:00:00 PM,1/3/2020 3:00:00 PM,177121.50,179531.40,174839.50
1/3/2020 9:00:00 PM,1/3/2020 4:00:00 PM,177582.80,179890.80,174839.50
1/3/2020 10:00:00 PM,1/3/2020 5:00:00 PM,178555.30,180791.70,174839.50
1/3/2020 11:00:00 PM,1/3/2020 6:00:00 PM,178710.10,180940.50,174839.50
1/4/2020 12:00:00 AM,1/3/2020 7:00:00 PM,178684.60,180925.80,174839.50
1/4/2020 1:00:00 AM,1/3/2020 8:00:00 PM,178387.80,180677.10,174839.50
1/4/2020 2:00:00 AM,1/3/2020 9:00:00 PM,178134.70,180647.10,174839.50
1/4/2020 3:00:00 AM,1/3/2020 10:00:00 PM,177755.80,180383.70,174839.50
1/4/2020 4:00:00 AM,1/3/2020 11:00:00 PM,177222.60,179953.40,174839.50
1/4/2020 5:00:00 AM,1/4/2020 12:00:00 AM,173116.40,176147.40,174839.50
1/4/2020 6:00:00 AM,1/4/2020 1:00:00 AM,172040.60,175346.60,174839.50
1/4/2020 7:00:00 AM,1/4/2020 2:00:00 AM,172005.40,175397.10,174839.50
1/4/2020 8:00:00 AM,1/4/2020 3:00:00 AM,172706.50,175982.60,174839.50
1/4/2020 9:00:00 AM,1/4/2020 4:00:00 AM,173571.10,176733.50,174839.50
1/4/2020 10:00:00 AM,1/4/2020 5:00:00 AM,173717.80,176876.70,174839.50
1/4/2020 11:00:00 AM,1/4/2020 6:00:00 AM,174667.60,177618.40,174839.50
1/4/2020 12:00:00 PM,1/4/2020 7:00:00 AM,174856.80,177770.40,174839.50
1/4/2020 1:00:00 PM,1/4/2020 8:00:00 AM,174931.20,177838.30,174839.50
1/4/2020 2:00:00 PM,1/4/2020 9:00:00 AM,175354.30,177917.10,174839.50
1/4/2020 3:00:00 PM,1/4/2020 10:00:00 AM,175752.40,178243.70,174839.50
1/4/2020 4:00:00 PM,1/4/2020 11:00:00 AM,176241.20,178703.30,174839.50
1/4/2020 5:00:00 PM,1/4/2020 12:00:00 PM,177390.80,179796.10,174839.50
1/4/2020 6:00:00 PM,1/4/2020 1:00:00 PM,177982.50,180308.60,174839.50
1/4/2020 7:00:00 PM,1/4/2020 2:00:00 PM,178220.10,180541.00,174839.50
1/4/2020 8:00:00 PM,1/4/2020 3:00:00 PM,178622.10,180745.50,174839.50
1/4/2020 9:00:00 PM,1/4/2020 4:00:00 PM,178913.20,181007.30,174839.50
1/4/2020 10:00:00 PM,1/4/2020 5:00:00 PM,179819.60,181760.80,174839.50
1/4/2020 11:00:00 PM,1/4/2020 6:00:00 PM,179992.20,182004.50,174839.50
1/5/2020 12:00:00 AM,1/4/2020 7:00:00 PM,180276.10,182212.10,174839.50
1/5/2020 1:00:00 AM,1/4/2020 8:00:00 PM,180188.70,182132.10,174839.50
1/5/2020 2:00:00 AM,1/4/2020 9:00:00 PM,179447.10,181824.00,174839.50
1/5/2020 3:00:00 AM,1/4/2020 10:00:00 PM,178794.00,181281.10,174839.50
1/5/2020 4:00:00 AM,1/4/2020 11:00:00 PM,178154.50,180905.20,174839.50
1/5/2020 5:00:00 AM,1/5/2020 12:00:00 AM,177649.00,180385.20,174839.50
1/5/2020 6:00:00 AM,1/5/2020 1:00:00 AM,177630.20,180347.80,174839.50
1/5/2020 7:00:00 AM,1/5/2020 2:00:00 AM,177367.40,180167.90,174839.50
1/5/2020 8:00:00 AM,1/5/2020 3:00:00 AM,177496.60,180461.00,174839.50
1/5/2020 9:00:00 AM,1/5/2020 4:00:00 AM,178671.20,181308.20,174839.50
