bid_datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/1/2023 5:00:00 AM,1/1/2023 12:00:00 AM,173230.70,174839.10,171707.20
1/1/2023 6:00:00 AM,1/1/2023 1:00:00 AM,173494.60,175083.20,171707.20
1/1/2023 7:00:00 AM,1/1/2023 2:00:00 AM,172908.50,174614.70,171707.20
1/1/2023 8:00:00 AM,1/1/2023 3:00:00 AM,172553.00,174257.00,171707.20
1/1/2023 9:00:00 AM,1/1/2023 4:00:00 AM,172418.80,174042.90,171707.20
1/1/2023 10:00:00 AM,1/1/2023 5:00:00 AM,172631.20,174015.10,171707.20
1/1/2023 11:00:00 AM,1/1/2023 6:00:00 AM,173308.50,174476.40,171707.20
1/1/2023 12:00:00 PM,1/1/2023 7:00:00 AM,174097.50,175272.90,171707.20
1/1/2023 1:00:00 PM,1/1/2023 8:00:00 AM,174238.20,175439.10,171707.20
1/1/2023 2:00:00 PM,1/1/2023 9:00:00 AM,173935.20,175147.80,171707.20
1/1/2023 3:00:00 PM,1/1/2023 10:00:00 AM,173409.50,174639.90,171707.20
1/1/2023 4:00:00 PM,1/1/2023 11:00:00 AM,172629.00,173886.10,171707.20
1/1/2023 5:00:00 PM,1/1/2023 12:00:00 PM,172262.50,173544.70,171707.20
1/1/2023 6:00:00 PM,1/1/2023 1:00:00 PM,172278.40,173646.10,171707.20
1/1/2023 7:00:00 PM,1/1/2023 2:00:00 PM,171990.70,173369.20,171707.20
1/1/2023 8:00:00 PM,1/1/2023 3:00:00 PM,171131.50,172517.90,171707.20
1/1/2023 9:00:00 PM,1/1/2023 4:00:00 PM,171131.50,172521.30,171707.20
1/1/2023 10:00:00 PM,1/1/2023 5:00:00 PM,171441.70,172860.40,171707.20
1/1/2023 11:00:00 PM,1/1/2023 6:00:00 PM,171915.50,173315.50,171707.20
1/2/2023 12:00:00 AM,1/1/2023 7:00:00 PM,176308.30,178226.30,171707.20
1/2/2023 1:00:00 AM,1/1/2023 8:00:00 PM,176474.80,178249.20,171707.20
1/2/2023 2:00:00 AM,1/1/2023 9:00:00 PM,176515.10,178259.50,171707.20
1/2/2023 3:00:00 AM,1/1/2023 10:00:00 PM,177014.00,178707.40,171707.20
1/2/2023 4:00:00 AM,1/1/2023 11:00:00 PM,177020.00,178709.60,171707.20
1/2/2023 5:00:00 AM,1/2/2023 12:00:00 AM,169060.70,170843.90,171707.20
1/2/2023 6:00:00 AM,1/2/2023 1:00:00 AM,168896.70,170808.50,171707.20
1/2/2023 7:00:00 AM,1/2/2023 2:00:00 AM,169146.30,171126.50,171707.20
1/2/2023 8:00:00 AM,1/2/2023 3:00:00 AM,169325.90,171298.60,171707.20
1/2/2023 9:00:00 AM,1/2/2023 4:00:00 AM,169815.00,171683.70,171707.20
1/2/2023 10:00:00 AM,1/2/2023 5:00:00 AM,170754.70,172295.60,171707.20
1/2/2023 11:00:00 AM,1/2/2023 6:00:00 AM,171529.90,172790.50,171707.20
1/2/2023 12:00:00 PM,1/2/2023 7:00:00 AM,171545.20,172745.70,171707.20
1/2/2023 1:00:00 PM,1/2/2023 8:00:00 AM,172613.30,173789.90,171707.20
1/2/2023 2:00:00 PM,1/2/2023 9:00:00 AM,173098.30,174279.50,171707.20
1/2/2023 3:00:00 PM,1/2/2023 10:00:00 AM,172309.50,173518.70,171707.20
1/2/2023 4:00:00 PM,1/2/2023 11:00:00 AM,171379.20,172592.20,171707.20
1/2/2023 5:00:00 PM,1/2/2023 12:00:00 PM,170488.40,171814.00,171707.20
1/2/2023 6:00:00 PM,1/2/2023 1:00:00 PM,169591.00,170924.80,171707.20
1/2/2023 7:00:00 PM,1/2/2023 2:00:00 PM,169027.30,170365.40,171707.20
1/2/2023 8:00:00 PM,1/2/2023 3:00:00 PM,168809.50,170136.60,171707.20
1/2/2023 9:00:00 PM,1/2/2023 4:00:00 PM,169976.00,171270.70,171707.20
1/2/2023 10:00:00 PM,1/2/2023 5:00:00 PM,171093.50,172264.70,171707.20
1/2/2023 11:00:00 PM,1/2/2023 6:00:00 PM,172189.40,173320.80,171707.20
1/3/2023 12:00:00 AM,1/2/2023 7:00:00 PM,174692.60,176513.50,171707.20
1/3/2023 1:00:00 AM,1/2/2023 8:00:00 PM,175104.30,176891.20,171707.20
1/3/2023 2:00:00 AM,1/2/2023 9:00:00 PM,175104.10,176891.00,171707.20
1/3/2023 3:00:00 AM,1/2/2023 10:00:00 PM,175132.30,176885.20,171707.20
1/3/2023 4:00:00 AM,1/2/2023 11:00:00 PM,175186.30,176954.20,171707.20
1/3/2023 5:00:00 AM,1/3/2023 12:00:00 AM,170335.80,171878.70,171707.20
1/3/2023 6:00:00 AM,1/3/2023 1:00:00 AM,169598.00,171291.40,171707.20
1/3/2023 7:00:00 AM,1/3/2023 2:00:00 AM,169145.50,170917.50,171707.20
1/3/2023 8:00:00 AM,1/3/2023 3:00:00 AM,169607.00,171397.40,171707.20
