index,mu,sigma,xi
0,1.45624610821312,0.776227643259185,0.14156935110116
1,1.45110431437647,0.777375643108116,0.140116368175396
2,1.44596244650053,0.778525375947155,0.138663336829631
3,1.44082068097353,0.779676769733774,0.137210346077537
4,1.43567882849965,0.780829891438511,0.13575730695459
5,1.43053679367504,0.781984769765738,0.134304173270185
6,1.42539563190554,0.783140969750669,0.132851480815298
7,1.42025360488849,0.784299195674114,0.131398337804
8,1.41511160974381,0.78545910131754,0.129945253563879
9,1.40996968161724,0.786620699884482,0.128492297477612
10,1.40482873883285,0.787783641104078,0.127039986834424
11,1.39968707631018,0.788948642254311,0.125587489697959
12,1.39454561524998,0.790115341492686,0.124135324124667
13,1.38940441271947,0.79128373405605,0.122683556269498
14,1.38426439297201,0.792453455790595,0.121232697749705
15,1.3791238017799,0.793625241437504,0.119781901525559
16,1.37398349991191,0.794798746662947,0.118331665556083
17,1.36884347989517,0.79597398783782,0.116882036859131
18,1.36370458895545,0.797150619475139,0.115433512717308
19,1.35856502979678,0.79832938269116,0.113985246395498
20,1.35342563270701,0.799509928156624,0.112537734905866
21,1.34828723892434,0.800691899962497,0.111091470980597
22,1.34314808062471,0.80187603387394,0.109645601274987
23,1.3380090285144,0.803061981150155,0.108200618165193
24,1.33287009435056,0.804249759495247,0.106756563877767
25,1.32773217813554,0.805439019294775,0.105313923303958
26,1.32259356959374,0.80663050955696,0.103871838565482
27,1.31745518144235,0.807823875819903,0.102430792640328
28,1.31231704954351,0.809019122856226,0.100990822732869
29,1.30718007299584,0.810215881512462,0.0995524136893846
30,1.30204252536302,0.811414882852044,0.0981147155190654
31,1.2969053022623,0.812615752251806,0.0966782117919018
32,1.29177014458256,0.813817747864033,0.0952438266344426
33,1.2866291819616,0.81502420071296,0.0938075995840876
34,1.28149725931487,0.816228793878308,0.0923771073120818
35,1.27635691407224,0.817438935874329,0.0909435124278263
36,1.2712256199018,0.818647164292536,0.0895157051251604
37,1.26608592205179,0.819860896039705,0.0880848647303619
38,1.2609552950898,0.821072635875707,0.086659865836257
39,1.25582503563379,0.822286087076282,0.0852363291131724
40,1.25068645909493,0.823504989318507,0.0838099155785119
41,1.24555707158121,0.824721841631532,0.0823895081553759
42,1.24041947968575,0.82594413457236,0.0809663681402043
43,1.23529116777608,0.827164345402014,0.0795493551427032
44,1.2301547225091,0.828389980832203,0.0781297534972902
45,1.22502761988389,0.829613488065551,0.0767164016410083
46,1.21989246979465,0.830842394990021,0.0753006115055172
47,1.21476674838324,0.832069130566572,0.0738912032981931
48,1.20963307860309,0.833301239599734,0.0724795294463347
49,1.2045089449045,0.834531152365679,0.0710744540620967
50,1.19937700269685,0.835766455294916,0.0696674258774991
51,1.19425474124396,0.836999558222217,0.0682672880916443
52,1.18912481852732,0.838238066814484,0.0668655187222778
53,1.18400470456696,0.839474378218061,0.0654709283863534
54,1.1788770917415,0.840716120947746,0.0640750271070622
55,1.17375945680936,0.841955665697726,0.0626865819843956
56,1.16863451794893,0.843200648800381,0.0612971391251544
57,1.16351973475056,0.844443406834933,0.0599154252652791
58,1.15840651836299,0.845687744576884,0.058537290465785
59,1.1532863128083,0.846937486310492,0.0571586280880307
60,1.14817658008445,0.848184939631402,0.0557880946759187
61,1.1430601308464,0.84943777982482,0.0544173474375075
62,1.13795442644733,0.85068829075442,0.0530549866212232
63,1.13284232753235,0.851944160469541,0.0516927132509983
64,1.12774129205378,0.853197648067024,0.050339065394472
65,1.12263423673916,0.854456456849618,0.0489857916812303
66,1.11753860868151,0.855712833759399,0.0476413690777123
67,1.11243734799486,0.856974511405138,0.0462976045228466
68,1.10734784962446,0.858233726737013,0.0449629127406084
69,1.10225309066911,0.859498226638564,0.0436291622883632
70,1.09717041126625,0.860760221072824,0.0423047074209195
71,1.09208282303778,0.862027465355375,0.0409814817990991
72,1.08700760428983,0.86329215270802,0.0396677721274911
73,1.0819278062124,0.864562065151237,0.0383555835178379
74,1.0768606787566,0.8658293863567,0.037053131564412
75,1.07178933661998,0.867101920035189,0.0357524831288484
76,1.0667309285749,0.868371865031383,0.0344617586646475
77,1.06167705211278,0.869643149386188,0.0331770384210638
78,1.05661936778217,0.870919712879983,0.0318944766490001
79,1.05157492610645,0.872193724901332,0.0306220717279025
80,1.04652691530983,0.87347304745993,0.0293520614198941
81,1.04149231720656,0.874749828245736,0.0280923638336858
82,1.03645439144927,0.876031938134092,0.0268352943238683
83,1.03143006892764,0.87731149926372,0.0255886844134462
84,1.02640269338108,0.87859639115923,0.0243449261801907
85,1.02138914315346,0.879878710009661,0.0231117635461339
86,1.01637285083248,0.881166356452943,0.0218816782772234
87,1.01137065220488,0.882451422680043,0.0206623312618147
